०५	05
०८७	087
१	1
१०	10
१००	100
१०००	1000
१०१०	1010
१०४	104
१०४४	1044
१०६	106
१०९	109
१०व	10vi
११	11
११००	1100
११०००	11000
११४	114
११५	115
११९०	1190
११९७	1197
१२	12
१२०	120
१२००	1200
१२१	121
१२३	123
१२५	125
१२७	127
१२८२	1282
१२व	12vin
१३	13
१३०	130
१३०५	1305
१३१४व	1314vin
१३५	135
१३५४७	13547
१३७७	1377
१४	14
१४०	140
१४००	1400
१४४२	1442
१४४९	1449
१४५६७७	145677
१४६८१८	146818
१४८९१५१७	14891517
१४व	14vi
१५	15
१५०००	15000
१५२९	1529
१५व	15vi
१६	16
१६००	1600
१६३३	1633
१६३८७८	163878
१६४	164
१६६४	1664
१६७९	1679
१६व	16ven
१६व	16vin
१७	17
१७००	1700
१७५	175
१७५२	1752
१७५९	1759
१७९४१८४६	17941846
१८	18
१८०	180
१८३२	1832
१८३९	1839
१८४७	1847
१८५०	1850
१८५२	1852
१८५४	1854
१८५७	1857
१८७	187
१८८८	1888
१८९४१९८१	18941981
१८९६	1896
१८९७	1897
१९	19
१९०२	1902
१९०४	1904
१९१२	1912
१९१४	1914
१९१४१५	191415
१९१५	1915
१९१६	1916
१९१९	1919
१९२०	1920
१९२१	1921
१९२३	1923
१९२४	1924
१९२५	1925
१९२७	1927
१९२८	1928
१९२९	1929
१९३०	1930
१९३१	1931
१९३३	1933
१९३५	1935
१९३६	1936
१९३७	1937
१९३८	1938
१९४०	1940
१९४२	1942
१९४३	1943
१९४५	1945
१९४६	1946
१९४८	1948
१९४९	1949
१९४९३०	194930
१९५०	1950
१९५१	1951
१९५२	1952
१९५३	1953
१९५५	1955
१९५६	1956
१९५७	1957
१९६०	1960
१९६१	1961
१९६२	1962
१९६३	1963
१९६७	1967
१९६९	1969
१९७०	1970
१९७१	1971
१९७९	1971
१९७२	1972
१९७३	1973
१९७४	1974
१९७५	1975
१९७७	1977
१९७८	1978
१९७९	1979
१९८०	1980
१९८१	1981
१९८२	1982
१९८३	1983
१९८४	1984
१९८५	1985
१९८५८६	198586
१९८६	1986
१९८७	1987
१९८८	1988
१९८९	1989
१९९०	1990
१९९१	1991
१९९४	1994
१९९५	1995
